Year,Title,Genre,System,Significance,Innovation,Complexity
1974,Dungeons & Dragons (Original),fantasy,d20,5,5,3
1975,Tunnels & Trolls,fantasy;dungeon-crawling,d6-pool,5,4,2
1977,Traveller,sci-fi,2d6,5,5,4
1977,Advanced Dungeons & Dragons First Edition,fantasy,AD&D,5,4,4
1977,Basic D&D,fantasy,Basic D&D,5,3,2
1977,Advanced Dungeons & Dragons,fantasy,d20,5,4,4
1981,Call of Cthulhu,horror,percentile,5,4,2
1985,Pendragon,fantasy;historical;arthurian,percentile (Basic Roleplaying),5,5,3
1986,GURPS,universal;multi-genre,point-buy,5,5,3
1987,Star Wars RPG (West End Games),science-fiction;space-opera;cinematic,d6 System,5,5,2
1989,Advanced Dungeons & Dragons Second Edition,fantasy,AD&D,4,3,4
1990,Rifts,science-fiction;post-apocalyptic;fantasy;multi-genre,Palladium Megaversal System,5,3,4
1990,Cyberpunk 2020,cyberpunk;science-fiction,interlock,5,4,3
1991,Amber Diceless RPG,fantasy;multi-dimensional;literary-adaptation,diceless,5,5,3
1991,Vampire - The Masquerade,horror;modern,storyteller,5,4,3
1991,D&D Rules Cyclopedia,fantasy,Basic D&D (BECMI compilation),4,4,3
1995,Legend of the Five Rings,fantasy;asian-fantasy;samurai,roll-and-keep,4,4,3
1996,Deadlands,weird-west;horror;alternate-history,custom (card-based initiative, poker mechanics),4,5,3
2000,D&D Third Edition,fantasy,d20 System,5,5,4
2000,Dungeons & Dragons Third Edition,fantasy,d20,5,4,4
2001,Sorcerer,horror;occult;modern,custom,5,5,3
2002,Mutants and Masterminds,superhero;modern,d20,4,4,3
2002,InSpectres,comedy;horror-comedy;modern;supernatural,custom,4,5,1
2002,The Burning Wheel,fantasy;literary,burning-wheel,5,5,4
2003,Savage Worlds,universal;pulp,savage-worlds,4,4,2
2003,D&D 3.5 Edition,fantasy,d20 System,4,3,5
2003,My Life with Master,horror;gothic;tragedy;minion-focused,custom,5,5,2
2004,Dogs in the Vineyard,western;religious,custom,5,5,2
2004,Primetime Adventures,universal;television,custom,5,5,1
2005,Dread,horror;suspense,jenga-tower,4,5,1
2006,Burning Empires,science-fiction;military-sf;space-opera,burning-wheel-derived,4,5,4
2008,D&D Fourth Edition,fantasy,4E,4,4,4
2008,Mouse Guard RPG,fantasy;anthropomorphic;adventure,burning-wheel-simplified,4,4,2
2009,Pathfinder Roleplaying Game,fantasy,d20,5,3,4
2009,Fiasco,modern;crime;comedy,story-game,5,5,1
2010,Apocalypse World,sci-fi,pbta,5,5,2
2011,Microscope,universal;worldbuilding,story-game,5,5,2
2012,Dungeon Crawl Classics,fantasy;sword-and-sorcery;OSR,DCC RPG System,4,5,3
2012,Dungeon World,fantasy,pbta,4,4,2
2012,Monster of the Week,horror;modern;mystery,pbta,4,4,2
2012,Monsterhearts,horror;modern;teenage-drama;queer;supernatural,Powered by the Apocalypse,5,5,2
2013,Numenera,science-fantasy;post-apocalyptic,cypher-system,4,5,2
2013,The Quiet Year,post-apocalyptic;community-building,story-game,5,5,2
2013,13th Age,fantasy,d20,4,4,3
2013,Torchbearer,fantasy;dungeon-crawling;osr,burning-wheel-derived,4,4,3
2013,Fate Core,universal,fate,4,4,2
2014,Dungeons & Dragons Fifth Edition,fantasy,d20,5,4,3
2015,Ten Candles,horror;tragic-horror;apocalyptic,d6-pool-tragedy,4,5,2
2015,Fall of Magic,fantasy;literary;journey,story-game,4,4,2
2016,The Sprawl,cyberpunk;sci-fi,pbta,3,4,3
2016,Masks - A New Generation,superhero;modern,pbta,4,4,2
2017,Good Society,historical;romance;regency,story-game,4,4,3
2017,Blades in the Dark,fantasy;crime,fitd,5,5,3
2018,Mothership,science-fiction;horror;survival;space-horror,Mothership System,4,4,2
2019,Ironsworn,fantasy;solo-play;co-op;Norse-inspired,Ironsworn System,4,5,2
2019,Star Crossed,romance;tragedy;universal,story-game,4,5,1
2019,For the Queen,fantasy;storytelling,story-game,5,5,1
2020,Alice is Missing,mystery;modern;horror,story-game,5,5,2
2021,Wanderhome,pastoral-fantasy;slice-of-life;cozy-gaming;anthropomorphic,No Dice No Masters (PbtA descendant),5,5,1
2022,Trophy Gold,horror;dark-fantasy;treasure-hunting;doomed-horror,caltrop-core-push-your-luck,4,5,2
